ñÚïiî‘çÜ,ñÚïiïù
1,836
1,818
1,826
1,836
1,828
1,928
1,908
1,922
1,912
1,912
1,698
1,746
1,704
1,702
1,726
1,882
1,902
1,870
1,886
1,854
1,968
1,988
1,992
1,970
1,960
1,808
1,790
1,766
1,788
1,812
2,768
2,765
2,760
2,768
2,761
2,836
2,834
2,828
2,820
2,816
2,686
2,680
2,682
2,688
2,670
2,838
2,816
2,830
2,836
2,830
2,896
2,892
2,894
2,892
2,908
2,752
2,754
2,752
2,748
2,772
3,840
3,814
3,836
3,830
3,808
3,920
3,920
3,922
3,914
3,928
3,694
3,708
3,704
3,684
3,696
3,872
3,886
3,882
3,854
3,860
3,984
3,1004
3,980
3,988
3,996
3,796
3,798
3,784
3,779
3,858
4,766
4,766
4,761
4,772
4,760
4,840
4,820
4,822
4,812
4,818
4,686
4,676
4,682
4,678
4,678
4,830
4,842
4,844
4,828
4,828
4,912
4,902
4,902
4,892
4,894
4,762
4,764
4,774
4,782
4,782
5,834
5,810
5,822
5,802
5,823
5,904
5,924
5,910
5,900
5,932
5,686
5,674
5,692
5,692
5,688
5,846
5,872
5,848
5,870
5,856
5,968
5,966
5,974
5,960
5,966
5,732
5,726
5,738
5,748
5,752
6,1028
6,1044
6,1064
6,990
6,978
6,1100
6,1100
6,1100
6,1100
6,1100
6,894
6,888
6,868
6,858
6,892
6,984
6,1016
6,1014
6,1038
6,1036
6,1100
6,1100
6,1100
6,1100
6,1100
6,848
6,822
6,794
6,778
6,803
7,982
7,988
7,970
7,1006
7,998
7,1100
7,1100
7,1100
7,1100
7,1100
7,816
7,842
7,870
7,860
7,896
7,960
7,962
7,970
7,984
7,962
7,1098
7,1080
7,1088
7,1096
7,1090
7,756
7,746
7,774
7,768
7,760
8,890
8,900
8,876
8,894
8,876
8,1008
8,1024
8,994
8,1028
8,988
8,734
8,726
8,738
8,732
8,736
8,928
8,912
8,932
8,940
8,934
8,1064
8,1060
8,1070
8,1078
8,1060
8,772
8,786
8,788
8,816
8,784
9,868
9,896
9,898
9,874
9,884
9,984
9,988
9,956
9,972
9,972
9,704
9,756
9,714
9,731
9,728
9,892
9,932
9,924
9,918
9,916
9,1026
9,1032
9,1028
9,1030
9,1020
9,782
9,784
9,780
9,770
9,790
10,826
10,830
10,828
10,834
10,826
10,938
10,942
10,940
10,928
10,944
10,686
10,684
10,684
10,682
10,680
10,832
10,832
10,838
10,838
10,838
10,974
10,978
10,976
10,972
10,972
10,730
10,728
10,722
10,734
10,724
11,822
11,830
11,802
11,818
11,814
11,866
11,864
11,868
11,864
11,860
11,784
11,782
11,786
11,788
11,789
11,872
11,868
11,866
11,736
11,874
11,922
11,924
11,924
11,928
11,922
11,844
11,846
11,848
11,756
11,844
12,810
12,808
12,804
12,796
12,814
12,864
12,862
12,856
12,860
12,864
12,762
12,757
12,760
12,756
12,756
12,864
12,860
12,676
12,860
12,868
12,932
12,930
12,799
12,928
12,928
12,824
12,836
12,720
12,744
12,826
13,792
13,786
13,795
13,800
13,790
13,828
13,826
13,827
13,828
13,828
13,756
13,752
13,754
13,754
13,752
13,848
13,846
13,854
13,848
13,858
13,900
13,904
13,840
13,842
13,900
13,808
13,828
13,832
13,820
13,822
14,746
14,770
14,784
14,784
14,772
14,858
14,858
14,832
14,854
14,854
14,682
14,682
14,678
14,678
14,680
14,820
14,832
14,828
14,832
14,824
14,932
14,940
14,920
14,928
14,922
14,660
14,668
14,652
14,674
14,666
15,754
15,746
15,764
15,752
15,752
15,820
15,828
15,812
15,818
15,820
15,670
15,674
15,664
15,648
15,660
15,796
15,718
15,792
15,800
15,802
15,884
15,900
15,890
15,880
15,888
15,734
15,674
15,752
15,670
15,664
16,744
16,748
16,760
16,748
16,768
16,806
16,792
16,792
16,798
16,798
16,680
16,676
16,692
16,686
16,686
16,776
16,800
16,788
16,798
16,776
16,870
16,868
16,866
16,864
16,864
16,750
16,746
16,746
16,748
16,754
17,714
17,732
17,758
17,736
17,744
17,794
17,788
17,784
17,788
17,786
17,680
17,672
17,684
17,672
17,676
17,782
17,784
17,712
17,698
17,690
17,866
17,858
17,854
17,856
17,860
17,740
17,744
17,664
17,678
17,672
18,744
18,740
18,748
18,754
18,746
18,856
18,852
18,858
18,854
18,852
18,669
18,678
18,672
18,680
18,678
18,762
18,766
18,688
18,684
18,674
18,848
18,840
18,838
18,840
18,774
18,570
18,572
18,654
18,654
18,660
19,718
19,736
19,740
19,734
19,736
19,766
19,774
19,780
19,776
19,778
19,670
19,670
19,674
19,680
19,668
19,782
19,766
19,768
19,753
19,776
19,840
19,844
19,832
19,844
19,844
19,732
19,738
19,648
19,736
19,738
20,838
20,814
20,806
20,814
20,822
20,956
20,950
20,952
20,956
20,954
20,664
20,662
20,670
20,668
20,676
20,854
20,860
20,860
20,848
20,872
20,996
20,992
20,990
20,996
20,998
20,724
20,712
20,722
20,718
20,724
21,777
21,785
21,817
21,781
21,800
21,1100
21,1092
21,1100
