薬品番号,一致（回）,一致率（％）,他薬品と一致（回）,他薬品と一致率（％）,いずれかの薬品と一致率（％）
1,0,0,25,83,83
2,0,0,26,86,86
3,0,0,25,83,83
4,0,0,18,60,60
5,0,0,21,70,70
6,0,0,17,56,56
7,0,0,23,76,76
8,0,0,21,70,70
9,0,0,15,50,50
10,0,0,9,30,30
11,0,0,14,46,46
12,0,0,17,56,56
13,0,0,11,36,36
14,0,0,24,80,80
15,0,0,23,76,76
16,0,0,17,56,56
17,0,0,15,50,50
18,0,0,14,46,46
19,0,0,10,33,33
20,0,0,13,43,43
21,0,0,14,46,46
22,0,0,9,30,30
23,7,23,4,13,36
24,0,0,9,30,30
25,0,0,10,33,33
26,0,0,14,46,46
27,0,0,18,60,60
28,0,0,4,13,13
29,0,0,5,16,16
30,0,0,18,60,60
31,0,0,0,0,0
32,0,0,0,0,0
33,0,0,0,0,0
34,0,0,0,0,0
35,0,0,0,0,0
36,0,0,0,0,0
37,0,0,0,0,0
38,0,0,22,73,73
39,0,0,0,0,0
40,0,0,0,0,0
41,0,0,0,0,0
42,0,0,3,10,10
43,0,0,0,0,0
44,0,0,22,73,73
45,0,0,0,0,0
